2021-07-08 21:12:14,681: 'h'
2021-07-08 21:12:14,859: 'c'
2021-07-08 21:12:15,046: 'h'
2021-07-08 21:12:15,337: 'j'
2021-07-08 21:12:15,537: 's'
2021-07-08 21:12:15,895: 'v'
2021-07-08 21:12:16,623: 'j'
2021-07-08 21:12:16,760: 's'
2021-07-08 21:12:16,867: 'b'
2021-07-08 21:12:16,983: 'x'
2021-07-08 21:12:24,719: Key.ctrl_l
2021-07-08 21:12:25,235: Key.ctrl_l
2021-07-08 21:12:25,268: Key.ctrl_l
2021-07-08 21:12:25,301: Key.ctrl_l
2021-07-08 21:12:25,317: '\x03'
2021-07-08 21:12:27,775: Key.ctrl_l
2021-07-08 21:12:28,291: Key.ctrl_l
2021-07-08 21:12:28,325: Key.ctrl_l
2021-07-08 21:12:28,358: Key.ctrl_l
2021-07-08 21:12:28,391: Key.ctrl_l
2021-07-08 21:12:28,399: '\x03'
2021-07-08 21:12:36,313: Key.ctrl_l
2021-07-08 21:12:36,829: Key.ctrl_l
2021-07-08 21:12:36,862: Key.ctrl_l
2021-07-08 21:12:36,895: Key.ctrl_l
2021-07-08 21:12:36,929: Key.ctrl_l
2021-07-08 21:12:36,962: Key.ctrl_l
2021-07-08 21:12:36,994: Key.ctrl_l
2021-07-08 21:12:37,004: '\x03'
2021-07-08 21:12:39,314: Key.ctrl_l
2021-07-08 21:12:39,831: Key.ctrl_l
2021-07-08 21:12:39,864: Key.ctrl_l
2021-07-08 21:12:39,897: Key.ctrl_l
2021-07-08 21:12:39,931: Key.ctrl_l
2021-07-08 21:12:39,963: Key.ctrl_l
2021-07-08 21:12:39,997: Key.ctrl_l
2021-07-08 21:12:40,030: Key.ctrl_l
2021-07-08 21:12:40,063: Key.ctrl_l
2021-07-08 21:12:40,095: Key.ctrl_l
2021-07-08 21:12:40,129: Key.ctrl_l
2021-07-08 21:12:40,162: Key.ctrl_l
2021-07-08 21:12:40,196: Key.ctrl_l
2021-07-08 21:12:40,229: Key.ctrl_l
2021-07-08 21:12:40,262: Key.ctrl_l
2021-07-08 21:12:40,295: Key.ctrl_l
2021-07-08 21:12:40,328: Key.ctrl_l
2021-07-08 21:12:40,361: Key.ctrl_l
2021-07-08 21:12:40,394: Key.ctrl_l
2021-07-08 21:12:40,428: Key.ctrl_l
2021-07-08 21:12:40,460: Key.ctrl_l
2021-07-08 21:12:40,494: Key.ctrl_l
2021-07-08 21:12:40,527: Key.ctrl_l
2021-07-08 21:12:40,560: Key.ctrl_l
2021-07-08 21:12:40,594: Key.ctrl_l
2021-07-08 21:12:40,627: Key.ctrl_l
2021-07-08 21:12:40,660: Key.ctrl_l
2021-07-08 21:12:40,693: Key.ctrl_l
2021-07-08 21:12:40,726: Key.ctrl_l
2021-07-08 21:12:40,760: Key.ctrl_l
2021-07-08 21:12:40,775: '\x03'
2021-07-08 21:12:41,321: Key.ctrl_l
2021-07-08 21:12:41,838: Key.ctrl_l
2021-07-08 21:12:41,871: Key.ctrl_l
2021-07-08 21:12:41,905: Key.ctrl_l
2021-07-08 21:12:41,922: '\x03'
2021-07-08 21:13:03,219: 'p'
2021-07-08 21:13:03,361: 'a'
2021-07-08 21:13:03,576: 's'
2021-07-08 21:13:03,724: 's'
2021-07-08 21:13:04,283: 'w'
2021-07-08 21:13:04,422: 'o'
2021-07-08 21:13:04,682: 'r'
2021-07-08 21:13:04,910: 'd'
